"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1873","should allow me to edit an item","firefox","Tue Dec 24 13:06:04 IST 2024","passed","Tue Dec 24 13:06:06 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","30015","How to handle hidden items in dropdown","chromium","Tue Dec 24 13:04:50 IST 2024","broken","Tue Dec 24 13:05:20 IST 2024","","tests-examples\hiddenDropdown.spec.js","",""
"","9134","Multi Dropdown","chromium","Tue Dec 24 13:05:13 IST 2024","passed","Tue Dec 24 13:05:22 IST 2024","","tests-examples\MultiDropdown.spec.js","",""
"","995","should trim entered text","chromium","Tue Dec 24 13:04:37 IST 2024","passed","Tue Dec 24 13:04:38 IST 2024","Editing","tests-examples\demo-todo-app.spec.js","",""
"","12933","Auto suggest Dropdown","webkit","Tue Dec 24 13:07:18 IST 2024","passed","Tue Dec 24 13:07:31 IST 2024","","tests-examples\autoSuggestDropdown.spec.js","",""
"","2097","should allow me to mark items as complete","webkit","Tue Dec 24 13:07:47 IST 2024","passed","Tue Dec 24 13:07:49 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","3530","should respect the back button","webkit","Tue Dec 24 13:07:57 IST 2024","passed","Tue Dec 24 13:08:01 IST 2024","Routing","tests-examples\demo-todo-app.spec.js","",""
"","1665","should append new items to the bottom of the list","firefox","Tue Dec 24 13:05:56 IST 2024","passed","Tue Dec 24 13:05:57 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","17201","Locators :","firefox","Tue Dec 24 13:06:49 IST 2024","passed","Tue Dec 24 13:07:07 IST 2024","","tests-examples\Locators.spec.js","",""
"","30016","Interact with an anchor inside an iframe","firefox","Tue Dec 24 13:06:17 IST 2024","broken","Tue Dec 24 13:06:47 IST 2024","","tests-examples\findQuickData.spec.js","",""
"","22858","Prompt with Ok and Cancel for test","firefox","Tue Dec 24 13:05:25 IST 2024","passed","Tue Dec 24 13:05:48 IST 2024","","tests-examples\alert.spec.js","",""
"","10653","Handle Frames","firefox","Tue Dec 24 13:06:18 IST 2024","passed","Tue Dec 24 13:06:29 IST 2024","","tests-examples\handleFrames.spec.js","",""
"","1736","should allow me to add todo items","webkit","Tue Dec 24 13:07:39 IST 2024","passed","Tue Dec 24 13:07:41 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","1828","complete all checkbox should update state when items are completed / cleared","firefox","Tue Dec 24 13:06:00 IST 2024","passed","Tue Dec 24 13:06:02 IST 2024","Mark all as completed","tests-examples\demo-todo-app.spec.js","",""
"","2","Alert with Ok","chromium","Tue Dec 24 13:04:07 IST 2024","skipped","Tue Dec 24 13:04:07 IST 2024","","tests-examples\alert.spec.js","",""
"","0","Confirmation Dialog Alert with Ok and Cancel","chromium","Tue Dec 24 13:04:07 IST 2024","skipped","Tue Dec 24 13:04:07 IST 2024","","tests-examples\alert.spec.js","",""
"","1597","should allow me to mark items as complete","firefox","Tue Dec 24 13:06:02 IST 2024","passed","Tue Dec 24 13:06:04 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","1381","should clear text input field when an item is added","firefox","Tue Dec 24 13:05:54 IST 2024","passed","Tue Dec 24 13:05:56 IST 2024","New Todo","tests-examples\demo-todo-app.spec.js","",""
"","1551","Locating Multiple Elements","chromium","Tue Dec 24 13:05:06 IST 2024","passed","Tue Dec 24 13:05:08 IST 2024","","tests-examples\LocatingMultipleElements.spec.js","",""
"","2168","should allow me to un-mark items as complete","webkit","Tue Dec 24 13:07:48 IST 2024","passed","Tue Dec 24 13:07:50 IST 2024","Item","tests-examples\demo-todo-app.spec.js","",""
"","14070","Locators :","chromium","Tue Dec 24 13:05:08 IST 2024","passed","Tue Dec 24 13:05:22 IST 2024","","tests-examples\Locators.spec.js","",""
"","8159","Handle Frames","chromium","Tue Dec 24 13:04:42 IST 2024","passed","Tue Dec 24 13:04:50 IST 2024","","tests-examples\handleFrames.spec.js","",""
"","2126","should display the correct text","firefox","Tue Dec 24 13:06:09 IST 2024","passed","Tue Dec 24 13:06:11 IST 2024","Clear completed button","tests-examples\demo-todo-app.spec.js","",""
